act_symbol,date,when
GOOGL,2021-04-27,After market close
GOOGL,2021-07-27,After market close
GOOGL,2021-10-26,After market close
GOOGL,2022-02-01,After market close
GOOGL,2022-04-26,After market close
GOOGL,2022-07-26,After market close
GOOGL,2022-10-25,After market close
GOOGL,2023-02-02,After market close
GOOGL,2023-04-25,After market close
GOOGL,2023-07-25,After market close
GOOGL,2023-10-24,After market close
GOOGL,2024-01-30,After market close
GOOGL,2024-04-25,After market close
GOOGL,2024-07-23,After market close
GOOGL,2024-10-29,Before market open